,Season,Game,Score,Teams,Home Team,Away Team
160,2000-2001,17,1-3,Alavés - Real Madrid,Alavés,Real Madrid
161,2000-2001,17,0-0,R. Sociedad - Valencia,R. Sociedad,Valencia
162,2000-2001,17,3-1,Mallorca - Sevilla,Mallorca,Sevilla
163,2000-2001,17,0-1,Real Betis - Real Valladolid,Real Betis,Real Valladolid
164,2000-2001,17,2-4,Celta - Málaga,Celta,Málaga
165,2000-2001,17,1-1,Rayo Vallecano - Barcelona,Rayo Vallecano,Barcelona
166,2000-2001,17,2-1,Real Zaragoza - Deportivo,Real Zaragoza,Deportivo
167,2000-2001,17,2-2,Racing - Athletic,Racing,Athletic
168,2000-2001,17,3-1,Espanyol - Numancia,Espanyol,Numancia
169,2000-2001,17,5-0,Atlético - Real Oviedo,Atlético,Real Oviedo
170,2000-2001,18,1-1,Valencia - Celta,Valencia,Celta
171,2000-2001,18,0-3,Deportivo - Racing,Deportivo,Racing
172,2000-2001,18,2-1,Sevilla - Atlético,Sevilla,Atlético
173,2000-2001,18,2-0,Real Oviedo - Rayo Vallecano,Real Oviedo,Rayo Vallecano
174,2000-2001,18,0-0,Málaga - Real Zaragoza,Málaga,Real Zaragoza
175,2000-2001,18,0-0,Numancia - Alavés,Numancia,Alavés
176,2000-2001,18,0-0,Mallorca - Real Valladolid,Mallorca,Real Valladolid
177,2000-2001,18,3-1,Barcelona - R. Sociedad,Barcelona,R. Sociedad
178,2000-2001,18,2-1,Athletic - Espanyol,Athletic,Espanyol
179,2000-2001,18,2-1,Real Madrid - Real Betis,Real Madrid,Real Betis
180,2000-2001,19,0-0,Espanyol - Deportivo,Espanyol,Deportivo
181,2000-2001,19,0-2,Celta - Barcelona,Celta,Barcelona
182,2000-2001,19,4-2,Real Zaragoza - Valencia,Real Zaragoza,Valencia
183,2000-2001,19,0-0,R. Sociedad - Real Oviedo,R. Sociedad,Real Oviedo
184,2000-2001,19,2-3,Racing - Málaga,Racing,Málaga
185,2000-2001,19,1-2,Alavés - Athletic,Alavés,Athletic
186,2000-2001,19,1-2,Real Betis - Numancia,Real Betis,Numancia
