,Season,Game,Score,Teams,Home Team,Away Team
4019,2010-2011,22,1-0,Tenerife - Mallorca,Tenerife,Mallorca
4020,2010-2011,23,2-1,Deportivo - Xerez,Deportivo,Xerez
4021,2010-2011,23,4-0,Barcelona - Racing,Barcelona,Racing
4022,2010-2011,23,1-3,Mallorca - Sevilla,Mallorca,Sevilla
4023,2010-2011,23,1-3,Real Zaragoza - Real Sporting,Real Zaragoza,Real Sporting
4024,2010-2011,23,1-1,Osasuna - Real Valladolid,Osasuna,Real Valladolid
4025,2010-2011,23,4-1,Athletic - Tenerife,Athletic,Tenerife
4026,2010-2011,23,2-1,Málaga - Espanyol,Málaga,Espanyol
4027,2010-2011,23,1-0,Almería - Atlético,Almería,Atlético
4028,2010-2011,23,6-2,Real Madrid - Villarreal,Real Madrid,Villarreal
4029,2010-2011,23,2-1,Valencia - Getafe,Valencia,Getafe
4030,2010-2011,24,0-2,Getafe - Real Zaragoza,Getafe,Real Zaragoza
4031,2010-2011,24,1-5,Tenerife - Real Madrid,Tenerife,Real Madrid
4032,2010-2011,24,2-1,Barcelona - Málaga,Barcelona,Málaga
4033,2010-2011,24,0-2,Racing - Almería,Racing,Almería
4034,2010-2011,24,3-2,Real Sporting - Osasuna,Real Sporting,Osasuna
4035,2010-2011,24,1-2,Real Valladolid - Mallorca,Real Valladolid,Mallorca
4036,2010-2011,24,1-0,Villarreal - Deportivo,Villarreal,Deportivo
4037,2010-2011,24,1-1,Xerez - Espanyol,Xerez,Espanyol
4038,2010-2011,24,0-0,Sevilla - Athletic,Sevilla,Athletic
4039,2010-2011,24,4-1,Atlético - Valencia,Atlético,Valencia
4040,2010-2011,25,3-1,Deportivo - Tenerife,Deportivo,Tenerife
4041,2010-2011,25,2-2,Almería - Barcelona,Almería,Barcelona
4042,2010-2011,25,3-2,Real Madrid - Sevilla,Real Madrid,Sevilla
4043,2010-2011,25,0-0,Osasuna - Getafe,Osasuna,Getafe
4044,2010-2011,25,3-0,Mallorca - Real Sporting,Mallorca,Real Sporting
4045,2010-2011,25,0-0,Espanyol - Villarreal,Espanyol,Villarreal
4046,2010-2011,25,2-4,Málaga - Xerez,Málaga,Xerez
4047,2010-2011,25,2-0,Athletic - Real Valladolid,Athletic,Real Valladolid
4048,2010-2011,25,1-1,Real Zaragoza - Atlético,Real Zaragoza,Atlético
4049,2010-2011,25,0-0,Valencia - Racing,Valencia,Racing
4050,2010-2011,26,3-0,Getafe - Mallorca,Getafe,Mallorca
4051,2010-2011,26,0-0,Real Sporting - Athletic,Real Sporting,Athletic
4052,2010-2011,26,1-1,Sevilla - Deportivo,Sevilla,Deportivo
4053,2010-2011,26,0-0,Racing - Real Zaragoza,Racing,Real Zaragoza
4054,2010-2011,26,2-0,Villarreal - Xerez,Villarreal,Xerez
4055,2010-2011,26,4-1,Tenerife - Espanyol,Tenerife,Espanyol
4056,2010-2011,26,1-0,Almería - Málaga,Almería,Málaga
4057,2010-2011,26,3-0,Barcelona - Valencia,Barcelona,Valencia
4058,2010-2011,26,1-4,Real Valladolid - Real Madrid,Real Valladolid,Real Madrid
4059,2010-2011,26,1-0,Atlético - Osasuna,Atlético,Osasuna
4060,2010-2011,27,2-2,Athletic - Getafe,Athletic,Getafe
4061,2010-2011,27,2-1,Xerez - Tenerife,Xerez,Tenerife
4062,2010-2011,27,0-2,Deportivo - Real Valladolid,Deportivo,Real Valladolid
4063,2010-2011,27,3-1,Real Madrid - Real Sporting,Real Madrid,Real Sporting
4064,2010-2011,27,2-0,Espanyol - Sevilla,Espanyol,Sevilla
4065,2010-2011,27,1-3,Osasuna - Racing,Osasuna,Racing
4066,2010-2011,27,4-1,Mallorca - Atlético,Mallorca,Atlético
4067,2010-2011,27,2-0,Málaga - Villarreal,Málaga,Villarreal
4068,2010-2011,27,2-0,Valencia - Almería,Valencia,Almería
4069,2010-2011,27,2-4,Real Zaragoza - Barcelona,Real Zaragoza,Barcelona
4070,2010-2011,28,2-1,Real Sporting - Deportivo,Real Sporting,Deportivo
4071,2010-2011,28,1-1,Sevilla - Xerez,Sevilla,Xerez
4072,2010-2011,28,2-2,Tenerife - Villarreal,Tenerife,Villarreal
4073,2010-2011,28,0-0,Real Valladolid - Espanyol,Real Valladolid,Espanyol
4074,2010-2011,28,1-0,Almería - Real Zaragoza,Almería,Real Zaragoza
4075,2010-2011,28,2-0,Barcelona - Osasuna,Barcelona,Osasuna
4076,2010-2011,28,0-0,Racing - Mallorca,Racing,Mallorca
4077,2010-2011,28,1-0,Valencia - Málaga,Valencia,Málaga
4078,2010-2011,28,2-4,Getafe - Real Madrid,Getafe,Real Madrid
4079,2010-2011,28,2-0,Atlético - Athletic,Atlético,Athletic
4080,2010-2011,29,1-1,Málaga - Tenerife,Málaga,Tenerife
4081,2010-2011,29,0-1,Mallorca - Barcelona,Mallorca,Barcelona
4082,2010-2011,29,3-0,Real Zaragoza - Valencia,Real Zaragoza,Valencia
4083,2010-2011,29,0-0,Espanyol - Real Sporting,Espanyol,Real Sporting
4084,2010-2011,29,1-3,Deportivo - Getafe,Deportivo,Getafe
4085,2010-2011,29,3-0,Xerez - Real Valladolid,Xerez,Real Valladolid
4086,2010-2011,29,1-0,Osasuna - Almería,Osasuna,Almería
4087,2010-2011,29,3-0,Villarreal - Sevilla,Villarreal,Sevilla
4088,2010-2011,29,3-2,Real Madrid - Atlético,Real Madrid,Atlético
4089,2010-2011,29,4-3,Athletic - Racing,Athletic,Racing
4090,2010-2011,30,2-0,Real Zaragoza - Málaga,Real Zaragoza,Málaga
4091,2010-2011,30,4-1,Barcelona - Athletic,Barcelona,Athletic
4092,2010-2011,30,3-0,Sevilla - Tenerife,Sevilla,Tenerife
4093,2010-2011,30,1-1,Getafe - Espanyol,Getafe,Espanyol
4094,2010-2011,30,2-2,Real Sporting - Xerez,Real Sporting,Xerez
4095,2010-2011,30,0-2,Real Valladolid - Villarreal,Real Valladolid,Villarreal
4096,2010-2011,30,1-1,Almería - Mallorca,Almería,Mallorca
4097,2010-2011,30,3-0,Valencia - Osasuna,Valencia,Osasuna
4098,2010-2011,30,0-2,Racing - Real Madrid,Racing,Real Madrid
4099,2010-2011,30,3-0,Atlético - Deportivo,Atlético,Deportivo
4100,2010-2011,31,1-2,Málaga - Sevilla,Málaga,Sevilla
4101,2010-2011,31,0-0,Tenerife - Real Valladolid,Tenerife,Real Valladolid
4102,2010-2011,31,1-0,Villarreal - Real Sporting,Villarreal,Real Sporting
4103,2010-2011,31,0-1,Xerez - Getafe,Xerez,Getafe
4104,2010-2011,31,0-2,Real Madrid - Barcelona,Real Madrid,Barcelona
4105,2010-2011,31,4-1,Athletic - Almería,Athletic,Almería
4106,2010-2011,31,1-1,Deportivo - Racing,Deportivo,Racing
4107,2010-2011,31,2-0,Osasuna - Real Zaragoza,Osasuna,Real Zaragoza
4108,2010-2011,31,3-0,Espanyol - Atlético,Espanyol,Atlético
4109,2010-2011,31,3-2,Mallorca - Valencia,Mallorca,Valencia
4110,2010-2011,32,2-1,Real Valladolid - Sevilla,Real Valladolid,Sevilla
4111,2010-2011,32,0-2,Real Sporting - Tenerife,Real Sporting,Tenerife
4112,2010-2011,32,3-0,Getafe - Villarreal,Getafe,Villarreal
4113,2010-2011,32,1-1,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
4114,2010-2011,32,2-2,Osasuna - Málaga,Osasuna,Málaga
4115,2010-2011,32,3-1,Racing - Espanyol,Racing,Espanyol
4116,2010-2011,32,1-2,Atlético - Xerez,Atlético,Xerez
4117,2010-2011,32,3-0,Barcelona - Deportivo,Barcelona,Deportivo
4118,2010-2011,32,1-2,Almería - Real Madrid,Almería,Real Madrid
4119,2010-2011,32,2-0,Valencia - Athletic,Valencia,Athletic
4120,2010-2011,33,3-0,Sevilla - Real Sporting,Sevilla,Real Sporting
4121,2010-2011,33,0-0,Espanyol - Barcelona,Espanyol,Barcelona
4122,2010-2011,33,2-1,Villarreal - Atlético,Villarreal,Atlético
4123,2010-2011,33,0-0,Deportivo - Almería,Deportivo,Almería
4124,2010-2011,33,0-0,Málaga - Real Valladolid,Málaga,Real Valladolid
4125,2010-2011,33,2-2,Xerez - Racing,Xerez,Racing
4126,2010-2011,33,3-2,Tenerife - Getafe,Tenerife,Getafe
4127,2010-2011,33,0-0,Athletic - Real Zaragoza,Athletic,Real Zaragoza
4128,2010-2011,33,2-0,Real Madrid - Valencia,Real Madrid,Valencia
4129,2010-2011,33,2-0,Mallorca - Osasuna,Mallorca,Osasuna
4130,2010-2011,34,3-1,Barcelona - Xerez,Barcelona,Xerez
4131,2010-2011,34,1-2,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
4132,2010-2011,34,1-0,Valencia - Deportivo,Valencia,Deportivo
4133,2010-2011,34,0-2,Real Sporting - Real Valladolid,Real Sporting,Real Valladolid
4134,2010-2011,34,0-1,Almería - Espanyol,Almería,Espanyol
4135,2010-2011,34,1-2,Racing - Villarreal,Racing,Villarreal
4136,2010-2011,34,1-1,Mallorca - Málaga,Mallorca,Málaga
4137,2010-2011,34,3-1,Atlético - Tenerife,Atlético,Tenerife
4138,2010-2011,34,4-3,Getafe - Sevilla,Getafe,Sevilla
4139,2010-2011,34,0-0,Osasuna - Athletic,Osasuna,Athletic
4140,2010-2011,35,1-1,Málaga - Real Sporting,Málaga,Real Sporting
4141,2010-2011,35,0-1,Deportivo - Real Zaragoza,Deportivo,Real Zaragoza
4142,2010-2011,35,2-1,Xerez - Almería,Xerez,Almería
4143,2010-2011,35,2-1,Tenerife - Racing,Tenerife,Racing
4144,2010-2011,35,0-0,Real Valladolid - Getafe,Real Valladolid,Getafe
4145,2010-2011,35,0-2,Espanyol - Valencia,Espanyol,Valencia
4146,2010-2011,35,1-4,Villarreal - Barcelona,Villarreal,Barcelona
4147,2010-2011,35,3-1,Sevilla - Atlético,Sevilla,Atlético
4148,2010-2011,35,3-2,Real Madrid - Osasuna,Real Madrid,Osasuna
4149,2010-2011,35,1-3,Athletic - Mallorca,Athletic,Mallorca
4150,2010-2011,36,1-1,Getafe - Real Sporting,Getafe,Real Sporting
4151,2010-2011,36,4-2,Almería - Villarreal,Almería,Villarreal
4152,2010-2011,36,4-1,Barcelona - Tenerife,Barcelona,Tenerife
4153,2010-2011,36,3-1,Valencia - Xerez,Valencia,Xerez
4154,2010-2011,36,1-5,Racing - Sevilla,Racing,Sevilla
4155,2010-2011,36,3-1,Atlético - Real Valladolid,Atlético,Real Valladolid
4156,2010-2011,36,1-0,Real Zaragoza - Espanyol,Real Zaragoza,Espanyol
4157,2010-2011,36,3-1,Osasuna - Deportivo,Osasuna,Deportivo
4158,2010-2011,36,1-1,Athletic - Málaga,Athletic,Málaga
4159,2010-2011,36,1-4,Mallorca - Real Madrid,Mallorca,Real Madrid
4160,2010-2011,37,2-1,Getafe - Málaga,Getafe,Málaga
4161,2010-2011,37,1-0,Deportivo - Mallorca,Deportivo,Mallorca
4162,2010-2011,37,2-1,Espanyol - Osasuna,Espanyol,Osasuna
4163,2010-2011,37,3-2,Xerez - Real Zaragoza,Xerez,Real Zaragoza
4164,2010-2011,37,2-0,Villarreal - Valencia,Villarreal,Valencia
4165,2010-2011,37,2-2,Tenerife - Almería,Tenerife,Almería
4166,2010-2011,37,2-3,Sevilla - Barcelona,Sevilla,Barcelona
4167,2010-2011,37,2-1,Real Valladolid - Racing,Real Valladolid,Racing
4168,2010-2011,37,1-1,Real Sporting - Atlético,Real Sporting,Atlético
4169,2010-2011,37,5-1,Real Madrid - Athletic,Real Madrid,Athletic
4170,2010-2011,38,2-0,Athletic - Deportivo,Athletic,Deportivo
4171,2010-2011,38,0-3,Atlético - Getafe,Atlético,Getafe
4172,2010-2011,38,3-3,Real Zaragoza - Villarreal,Real Zaragoza,Villarreal
4173,2010-2011,38,2-3,Almería - Sevilla,Almería,Sevilla
4174,2010-2011,38,2-0,Mallorca - Espanyol,Mallorca,Espanyol
4175,2010-2011,38,1-0,Valencia - Tenerife,Valencia,Tenerife
4176,2010-2011,38,4-0,Barcelona - Real Valladolid,Barcelona,Real Valladolid
4177,2010-2011,38,1-1,Osasuna - Xerez,Osasuna,Xerez
4178,2010-2011,38,2-0,Racing - Real Sporting,Racing,Real Sporting
4179,2010-2011,38,1-1,Málaga - Real Madrid,Málaga,Real Madrid
4180,2011-2012,1,0-1,Hércules - Athletic,Hércules,Athletic
4181,2011-2012,1,1-3,Málaga - Valencia,Málaga,Valencia
4182,2011-2012,1,1-4,Levante - Sevilla,Levante,Sevilla
4183,2011-2012,1,0-0,Deportivo - Real Zaragoza,Deportivo,Real Zaragoza
4184,2011-2012,1,0-0,Osasuna - Almería,Osasuna,Almería
4185,2011-2012,1,3-1,Espanyol - Getafe,Espanyol,Getafe
4186,2011-2012,1,1-0,R. Sociedad - Villarreal,R. Sociedad,Villarreal
4187,2011-2012,1,0-3,Racing - Barcelona,Racing,Barcelona
4188,2011-2012,1,0-0,Mallorca - Real Madrid,Mallorca,Real Madrid
4189,2011-2012,1,4-0,Atlético - Real Sporting,Atlético,Real Sporting
4190,2011-2012,2,0-2,Barcelona - Hércules,Barcelona,Hércules
4191,2011-2012,2,1-0,Valencia - Racing,Valencia,Racing
4192,2011-2012,2,1-0,Real Madrid - Osasuna,Real Madrid,Osasuna
4193,2011-2012,2,1-2,Athletic - Atlético,Athletic,Atlético
4194,2011-2012,2,4-1,Getafe - Levante,Getafe,Levante
4195,2011-2012,2,2-0,Real Sporting - Mallorca,Real Sporting,Mallorca
4196,2011-2012,2,3-5,Real Zaragoza - Málaga,Real Zaragoza,Málaga
4197,2011-2012,2,4-0,Villarreal - Espanyol,Villarreal,Espanyol
4198,2011-2012,2,0-0,Sevilla - Deportivo,Sevilla,Deportivo
4199,2011-2012,2,2-2,Almería - R. Sociedad,Almería,R. Sociedad
4200,2011-2012,3,2-0,Mallorca - Osasuna,Mallorca,Osasuna
4201,2011-2012,3,1-0,Espanyol - Almería,Espanyol,Almería
4202,2011-2012,3,2-2,Real Sporting - Athletic,Real Sporting,Athletic
4203,2011-2012,3,1-2,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
4204,2011-2012,3,2-0,Racing - Real Zaragoza,Racing,Real Zaragoza
4205,2011-2012,3,1-2,Hércules - Valencia,Hércules,Valencia
4206,2011-2012,3,1-2,Levante - Villarreal,Levante,Villarreal
4207,2011-2012,3,1-2,Atlético - Barcelona,Atlético,Barcelona
4208,2011-2012,3,1-2,Málaga - Sevilla,Málaga,Sevilla
4209,2011-2012,3,2-2,Deportivo - Getafe,Deportivo,Getafe
4210,2011-2012,4,3-1,Osasuna - R. Sociedad,Osasuna,R. Sociedad
4211,2011-2012,4,3-0,Athletic - Mallorca,Athletic,Mallorca
4212,2011-2012,4,3-0,Real Madrid - Espanyol,Real Madrid,Espanyol
4213,2011-2012,4,0-0,Real Zaragoza - Hércules,Real Zaragoza,Hércules
4214,2011-2012,4,1-0,Barcelona - Real Sporting,Barcelona,Real Sporting
4215,2011-2012,4,0-1,Almería - Levante,Almería,Levante
4216,2011-2012,4,1-1,Valencia - Atlético,Valencia,Atlético
4217,2011-2012,4,0-2,Getafe - Málaga,Getafe,Málaga
4218,2011-2012,4,1-0,Villarreal - Deportivo,Villarreal,Deportivo
4219,2011-2012,4,1-1,Sevilla - Racing,Sevilla,Racing
4220,2011-2012,5,0-2,Real Sporting - Valencia,Real Sporting,Valencia
4221,2011-2012,5,0-0,Levante - Real Madrid,Levante,Real Madrid
4222,2011-2012,5,1-3,Athletic - Barcelona,Athletic,Barcelona
4223,2011-2012,5,0-1,Racing - Getafe,Racing,Getafe
4224,2011-2012,5,0-2,Deportivo - Almería,Deportivo,Almería
4225,2011-2012,5,1-0,Espanyol - Osasuna,Espanyol,Osasuna
4226,2011-2012,5,2-0,Mallorca - R. Sociedad,Mallorca,R. Sociedad
4227,2011-2012,5,2-0,Hércules - Sevilla,Hércules,Sevilla
4228,2011-2012,5,1-0,Atlético - Real Zaragoza,Atlético,Real Zaragoza
4229,2011-2012,5,2-3,Málaga - Villarreal,Málaga,Villarreal
4230,2011-2012,6,2-2,Real Zaragoza - Real Sporting,Real Zaragoza,Real Sporting
4231,2011-2012,6,1-0,R. Sociedad - Espanyol,R. Sociedad,Espanyol
4232,2011-2012,6,2-1,Valencia - Athletic,Valencia,Athletic
4233,2011-2012,6,1-1,Osasuna - Levante,Osasuna,Levante
4234,2011-2012,6,1-1,Almería - Málaga,Almería,Málaga
4235,2011-2012,6,2-0,Villarreal - Racing,Villarreal,Racing
4236,2011-2012,6,3-0,Getafe - Hércules,Getafe,Hércules
4237,2011-2012,6,3-1,Sevilla - Atlético,Sevilla,Atlético
4238,2011-2012,6,1-1,Barcelona - Mallorca,Barcelona,Mallorca
4239,2011-2012,6,6-1,Real Madrid - Deportivo,Real Madrid,Deportivo
4240,2011-2012,7,2-0,Atlético - Getafe,Atlético,Getafe
4241,2011-2012,7,2-1,Barcelona - Valencia,Barcelona,Valencia
4242,2011-2012,7,1-4,Málaga - Real Madrid,Málaga,Real Madrid
4243,2011-2012,7,2-1,Levante - R. Sociedad,Levante,R. Sociedad
4244,2011-2012,7,0-0,Deportivo - Osasuna,Deportivo,Osasuna
4245,2011-2012,7,1-0,Racing - Almería,Racing,Almería
4246,2011-2012,7,0-1,Mallorca - Espanyol,Mallorca,Espanyol
4247,2011-2012,7,2-1,Athletic - Real Zaragoza,Athletic,Real Zaragoza
4248,2011-2012,7,2-0,Real Sporting - Sevilla,Real Sporting,Sevilla
4249,2011-2012,7,2-2,Hércules - Villarreal,Hércules,Villarreal
4250,2011-2012,8,0-2,Real Zaragoza - Barcelona,Real Zaragoza,Barcelona
4251,2011-2012,8,6-1,Real Madrid - Racing,Real Madrid,Racing
4252,2011-2012,8,1-2,Valencia - Mallorca,Valencia,Mallorca
4253,2011-2012,8,3-0,Osasuna - Málaga,Osasuna,Málaga
4254,2011-2012,8,1-1,Almería - Hércules,Almería,Hércules
4255,2011-2012,8,3-0,Getafe - Real Sporting,Getafe,Real Sporting
4256,2011-2012,8,2-1,Espanyol - Levante,Espanyol,Levante
4257,2011-2012,8,4-3,Sevilla - Athletic,Sevilla,Athletic
4258,2011-2012,8,2-0,Villarreal - Atlético,Villarreal,Atlético
4259,2011-2012,8,3-0,R. Sociedad - Deportivo,R. Sociedad,Deportivo
4260,2011-2012,9,1-1,Valencia - Real Zaragoza,Valencia,Real Zaragoza
4261,2011-2012,9,1-3,Hércules - Real Madrid,Hércules,Real Madrid
4262,2011-2012,9,5-0,Barcelona - Sevilla,Barcelona,Sevilla
4263,2011-2012,9,1-1,Real Sporting - Villarreal,Real Sporting,Villarreal
4264,2011-2012,9,4-1,Racing - Osasuna,Racing,Osasuna
4265,2011-2012,9,1-2,Málaga - R. Sociedad,Málaga,R. Sociedad
4266,2011-2012,9,3-0,Deportivo - Espanyol,Deportivo,Espanyol
4267,2011-2012,9,1-1,Atlético - Almería,Atlético,Almería
4268,2011-2012,9,3-0,Athletic - Getafe,Athletic,Getafe
4269,2011-2012,9,2-1,Mallorca - Levante,Mallorca,Levante
4270,2011-2012,10,1-0,R. Sociedad - Racing,R. Sociedad,Racing
4271,2011-2012,10,1-0,Espanyol - Málaga,Espanyol,Málaga
4272,2011-2012,10,3-2,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
4273,2011-2012,10,3-0,Osasuna - Hércules,Osasuna,Hércules
4274,2011-2012,10,1-2,Levante - Deportivo,Levante,Deportivo
4275,2011-2012,10,1-1,Almería - Real Sporting,Almería,Real Sporting
4276,2011-2012,10,4-1,Villarreal - Athletic,Villarreal,Athletic
4277,2011-2012,10,1-3,Getafe - Barcelona,Getafe,Barcelona
4278,2011-2012,10,2-0,Real Madrid - Atlético,Real Madrid,Atlético
4279,2011-2012,10,2-0,Sevilla - Valencia,Sevilla,Valencia
4280,2011-2012,11,1-0,Athletic - Almería,Athletic,Almería
4281,2011-2012,11,3-0,Atlético - Osasuna,Atlético,Osasuna
4282,2011-2012,11,3-1,Barcelona - Villarreal,Barcelona,Villarreal
4283,2011-2012,11,1-2,Real Zaragoza - Sevilla,Real Zaragoza,Sevilla
4284,2011-2012,11,0-0,Mallorca - Deportivo,Mallorca,Deportivo
4285,2011-2012,11,1-0,Málaga - Levante,Málaga,Levante
4286,2011-2012,11,0-0,Racing - Espanyol,Racing,Espanyol
4287,2011-2012,11,2-1,Hércules - R. Sociedad,Hércules,R. Sociedad
4288,2011-2012,11,0-1,Real Sporting - Real Madrid,Real Sporting,Real Madrid
4289,2011-2012,11,2-0,Valencia - Getafe,Valencia,Getafe
4290,2011-2012,12,1-1,Villarreal - Valencia,Villarreal,Valencia
4291,2011-2012,12,0-8,Almería - Barcelona,Almería,Barcelona
4292,2011-2012,12,5-1,Real Madrid - Athletic,Real Madrid,Athletic
4293,2011-2012,12,3-0,Deportivo - Málaga,Deportivo,Málaga
4294,2011-2012,12,3-1,Levante - Racing,Levante,Racing
4295,2011-2012,12,3-0,Espanyol - Hércules,Espanyol,Hércules
4296,2011-2012,12,1-0,Osasuna - Real Sporting,Osasuna,Real Sporting
4297,2011-2012,12,1-2,Sevilla - Mallorca,Sevilla,Mallorca
4298,2011-2012,12,2-4,R. Sociedad - Atlético,R. Sociedad,Atlético
4299,2011-2012,12,1-1,Getafe - Real Zaragoza,Getafe,Real Zaragoza
4300,2011-2012,13,0-3,Real Zaragoza - Villarreal,Real Zaragoza,Villarreal
4301,2011-2012,13,1-3,Sevilla - Getafe,Sevilla,Getafe
4302,2011-2012,13,2-3,Atlético - Espanyol,Atlético,Espanyol
4303,2011-2012,13,1-0,Racing - Deportivo,Racing,Deportivo
4304,2011-2012,13,3-1,Hércules - Levante,Hércules,Levante
4305,2011-2012,13,1-3,Real Sporting - R. Sociedad,Real Sporting,R. Sociedad
4306,2011-2012,13,2-0,Mallorca - Málaga,Mallorca,Málaga
4307,2011-2012,13,1-0,Athletic - Osasuna,Athletic,Osasuna
4308,2011-2012,13,2-1,Valencia - Almería,Valencia,Almería
4309,2011-2012,13,5-0,Barcelona - Real Madrid,Barcelona,Real Madrid
4310,2011-2012,14,2-0,Levante - Atlético,Levante,Atlético
4311,2011-2012,14,0-3,Osasuna - Barcelona,Osasuna,Barcelona
4312,2011-2012,14,2-0,Real Madrid - Valencia,Real Madrid,Valencia
4313,2011-2012,14,3-0,Getafe - Mallorca,Getafe,Mallorca
4314,2011-2012,14,1-0,Espanyol - Real Sporting,Espanyol,Real Sporting
4315,2011-2012,14,4-1,Málaga - Racing,Málaga,Racing
4316,2011-2012,14,1-1,Almería - Real Zaragoza,Almería,Real Zaragoza
4317,2011-2012,14,1-0,Villarreal - Sevilla,Villarreal,Sevilla
4318,2011-2012,14,2-0,R. Sociedad - Athletic,R. Sociedad,Athletic
4319,2011-2012,14,1-0,Deportivo - Hércules,Deportivo,Hércules
4320,2011-2012,15,1-0,Getafe - Villarreal,Getafe,Villarreal
4321,2011-2012,15,1-3,Sevilla - Almería,Sevilla,Almería
4322,2011-2012,15,2-0,Atlético - Deportivo,Atlético,Deportivo
4323,2011-2012,15,2-1,Athletic - Espanyol,Athletic,Espanyol
4324,2011-2012,15,1-1,Real Sporting - Levante,Real Sporting,Levante
4325,2011-2012,15,4-1,Hércules - Málaga,Hércules,Málaga
4326,2011-2012,15,0-1,Mallorca - Racing,Mallorca,Racing
4327,2011-2012,15,1-3,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
4328,2011-2012,15,5-0,Barcelona - R. Sociedad,Barcelona,R. Sociedad
4329,2011-2012,15,3-3,Valencia - Osasuna,Valencia,Osasuna
4330,2011-2012,16,3-1,Villarreal - Mallorca,Villarreal,Mallorca
4331,2011-2012,16,1-1,Deportivo - Real Sporting,Deportivo,Real Sporting
4332,2011-2012,16,1-2,Levante - Athletic,Levante,Athletic
4333,2011-2012,16,1-5,Espanyol - Barcelona,Espanyol,Barcelona
4334,2011-2012,16,1-2,R. Sociedad - Valencia,R. Sociedad,Valencia
4335,2011-2012,16,0-0,Osasuna - Real Zaragoza,Osasuna,Real Zaragoza
4336,2011-2012,16,2-3,Almería - Getafe,Almería,Getafe
4337,2011-2012,16,0-3,Málaga - Atlético,Málaga,Atlético
4338,2011-2012,16,1-0,Real Madrid - Sevilla,Real Madrid,Sevilla
4339,2011-2012,16,0-0,Racing - Hércules,Racing,Hércules
4340,2011-2012,17,1-2,Athletic - Deportivo,Athletic,Deportivo
4341,2011-2012,17,2-1,Barcelona - Levante,Barcelona,Levante
4342,2011-2012,17,1-2,Real Sporting - Málaga,Real Sporting,Málaga
4343,2011-2012,17,1-0,Sevilla - Osasuna,Sevilla,Osasuna
4344,2011-2012,17,2-1,Valencia - Espanyol,Valencia,Espanyol
4345,2011-2012,17,0-0,Atlético - Racing,Atlético,Racing
4346,2011-2012,17,2-0,Villarreal - Almería,Villarreal,Almería
4347,2011-2012,17,2-1,Real Zaragoza - R. Sociedad,Real Zaragoza,R. Sociedad
4348,2011-2012,17,3-0,Mallorca - Hércules,Mallorca,Hércules
4349,2011-2012,17,2-3,Getafe - Real Madrid,Getafe,Real Madrid
4350,2011-2012,18,1-1,Málaga - Athletic,Málaga,Athletic
4351,2011-2012,18,2-3,R. Sociedad - Sevilla,R. Sociedad,Sevilla
4352,2011-2012,18,0-4,Deportivo - Barcelona,Deportivo,Barcelona
4353,2011-2012,18,4-1,Mallorca - Almería,Mallorca,Almería
4354,2011-2012,18,0-0,Osasuna - Getafe,Osasuna,Getafe
4355,2011-2012,18,4-0,Espanyol - Real Zaragoza,Espanyol,Real Zaragoza
4356,2011-2012,18,1-1,Racing - Real Sporting,Racing,Real Sporting
4357,2011-2012,18,4-2,Real Madrid - Villarreal,Real Madrid,Villarreal
4358,2011-2012,18,0-1,Levante - Valencia,Levante,Valencia
4359,2011-2012,18,4-1,Hércules - Atlético,Hércules,Atlético
4360,2011-2012,19,4-2,Villarreal - Osasuna,Villarreal,Osasuna
4361,2011-2012,19,1-0,Real Zaragoza - Levante,Real Zaragoza,Levante
4362,2011-2012,19,2-0,Real Sporting - Hércules,Real Sporting,Hércules
4363,2011-2012,19,0-4,Getafe - R. Sociedad,Getafe,R. Sociedad
4364,2011-2012,19,2-1,Athletic - Racing,Athletic,Racing
4365,2011-2012,19,1-2,Sevilla - Espanyol,Sevilla,Espanyol
4366,2011-2012,19,2-0,Valencia - Deportivo,Valencia,Deportivo
4367,2011-2012,19,1-1,Almería - Real Madrid,Almería,Real Madrid
4368,2011-2012,19,4-1,Barcelona - Málaga,Barcelona,Málaga
4369,2011-2012,19,3-0,Atlético - Mallorca,Atlético,Mallorca
4370,2011-2012,20,4-1,Sevilla - Levante,Sevilla,Levante
4371,2011-2012,20,3-0,Barcelona - Racing,Barcelona,Racing
4372,2011-2012,20,4-3,Valencia - Málaga,Valencia,Málaga
4373,2011-2012,20,3-2,Almería - Osasuna,Almería,Osasuna
4374,2011-2012,20,1-3,Getafe - Espanyol,Getafe,Espanyol
4375,2011-2012,20,1-0,Real Sporting - Atlético,Real Sporting,Atlético
4376,2011-2012,20,1-0,Real Zaragoza - Deportivo,Real Zaragoza,Deportivo
4377,2011-2012,20,1-0,Real Madrid - Mallorca,Real Madrid,Mallorca
4378,2011-2012,20,2-1,Villarreal - R. Sociedad,Villarreal,R. Sociedad
4379,2011-2012,20,3-0,Athletic - Hércules,Athletic,Hércules
4380,2011-2012,21,0-4,Mallorca - Real Sporting,Mallorca,Real Sporting
4381,2011-2012,21,2-0,R. Sociedad - Almería,R. Sociedad,Almería
4382,2011-2012,21,2-0,Levante - Getafe,Levante,Getafe
4383,2011-2012,21,1-2,Málaga - Real Zaragoza,Málaga,Real Zaragoza
4384,2011-2012,21,0-3,Hércules - Barcelona,Hércules,Barcelona
